index,Region,Illegal Dumpsites,Materials Recovery Facility,Sanitary Landfill,Registered TSD Facilities,Wastes with Cyanide,Acid Wastes,Alkali Wastes,Wastes with Inorganic Chemicals,Reactive Chemical Wastes,Inks/Dyes/Pigments/Paint/Latex/Adhesives/Organic Sludge,Waste Organic Solvents,Organic Wastes,Oil,Containers,Stabilized Wastes,Organic Chemicals,Miscellaneous Wastes,Total Hazardous Wastes,Total Treated Hazardous Wastes,Year,Population
0,Philippines,,11779,290,153,977.58,3952.36,22725.57,21555.88,995.34,27685.19,15572.87,6899.72,71958.19,6167.08,33720.6,203.95,40344.33,252758.67,247010.66,2022,111572254.0
1,NCR,0,1045,1,21,2.86,488.34,186.6,946.59,28.7,4122.37,477.46,1451.17,6100.73,599.48,114.82,51.62,15138.76,29709.49,29170.76,2022,14118673.0
2,CAR,0,726,9,2,0.01,11.29,4.01,143.54,0.03,412.31,32.8,158.5,1157.86,16.62,0.0,0.0,704.69,2641.66,2573.33,2022,1836857.0
3,I - Ilocos Region,0,3223,51,2,3.2,1.38,0.68,62.79,0.07,6.88,1.57,81.74,842.61,83.7,0.0,0.42,1789.95,2874.98,2832.98,2022,5353139.0
4,II - Cagayan Valley,0,825,44,1,0.0,3.44,1.53,20.52,0.02,2.2,0.69,55.87,846.07,165.54,0.0,0.0,574.57,1670.46,1647.63,2022,3727548.0
5,III - Central Luzon,0,882,15,51,480.48,233.9,137.06,1006.75,865.42,2911.81,1560.94,1274.42,12581.95,1409.58,19155.86,2.22,6545.73,48166.12,46324.2,2022,12706460.0
6,IV-A - CALABARZON,0,527,41,44,445.72,2998.15,22264.98,17780.28,92.45,16688.28,11973.72,3363.14,26007.51,3330.23,14403.8,41.28,8096.62,127486.15,125167.91,2022,16654975.0
7,IV-B - MIMAROPA,0,179,14,0,0.0,24.56,10.4,56.87,0.0,5.37,0,6.9,2009.83,5.39,0.0,0.0,255.1,2374.41,2084.09,2022,3247680.0
8,V - Bicol Region,0,444,8,1,0.01,4.05,23.91,35.77,0.09,2.42,0,0.99,1307.21,64.68,0.0,2.19,1375.15,2816.47,2731.16,2022,6248843.0
9,VI - Western Visayas,0,1170,15,2,0.0,3.91,1.36,76.7,5.21,0.62,0.13,70.84,2110.0,10.09,8.26,0.0,1565.36,3852.46,3884.62,2022,8033041.0
10,VII - Central Visayas,0,482,16,9,44.76,98.29,91.34,859.09,2.59,3255.34,1490.90,170.49,3960.48,240.37,27.97,56.86,2134.19,12432.67,11802.77,2022,8147078.0
11,VIII - Eastern Visayas,0,875,11,2,0.0,66.73,0.75,57.65,0.0,115.09,0.09,9.91,525.75,17.34,0.0,0.0,294.18,1087.5,1017.22,2022,4865157.0
12,IX - Zamboanga Peninsula,0,123,2,1,0.06,4.1,0.0,33.85,0.0,1.66,0,2.39,467.75,21.92,0.0,0.0,8.34,540.07,597.87,2022,3834801.0
13,X - Northern Mindanao,0,299,28,7,0.0,10.27,0.49,80.32,0.22,53.04,2.1,23.04,10474.21,20.3,0.0,0.33,483.18,11147.49,11156.47,2022,5128964.0
14,XI - Davao Region,0,165,9,6,0.05,1.8,1.8,110.34,0.0,0.28,0.37,226.02,1541.11,54.01,0.0,48.3,1009.45,2993.54,2839.95,2022,5451448.0
15,XII - SOCCSKSARGEN,0,252,22,3,0.45,1.96,0.67,46.55,0.53,39.61,28.11,0.53,682.67,58.0,0.33,0.73,232.96,1093.09,1339.21,2022,5048327.0
16,XIII - Caraga,0,562,4,1,0.0,0.19,0.0,238.27,0.0,67.92,4,3.78,1342.43,69.84,9.57,0.0,136.11,1872.11,1840.49,2022,2810426.0
17,BARMM,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,4358837.0
